Frequency (Hz)	Level (dB)
0.672913	-91.676025
1.345825	-91.723007
2.018738	-91.529205
2.691650	-91.783020
3.364563	-91.598015
4.037476	-91.278908
4.710388	-91.126328
5.383301	-90.882797
6.056213	-89.807175
6.729126	-90.789688
7.402039	-90.001854
8.074951	-88.676544
8.747864	-88.588066
9.420776	-86.960434
10.093689	-83.111168
10.766602	-85.466736
11.439514	-85.476242
12.112427	-84.442001
12.785339	-83.290161
13.458252	-84.306488
14.131165	-82.528389
14.804077	-80.662056
15.476990	-80.630066
16.149902	-78.415550
16.822815	-74.469826
17.495728	-63.313591
18.168640	-69.410744
18.841553	-72.898186
19.514465	-71.928658
20.187378	-74.307983
20.860291	-74.540070
21.533203	-75.760994
22.206116	-77.495056
22.879028	-73.567696
23.551941	-74.806969
24.224854	-77.284668
24.897766	-76.265617
25.570679	-76.587555
26.243591	-77.177086
26.916504	-79.588989
27.589417	-79.014862
28.262329	-78.311424
28.935242	-77.041458
29.608154	-72.357246
30.281067	-75.348831
30.953979	-74.670532
31.626892	-74.669952
32.299805	-74.715385
32.972717	-73.197754
33.645630	-73.945595
34.318542	-74.951958
34.991455	-69.099213
35.664368	-64.364525
36.337280	-71.710068
37.010193	-73.308784
37.683105	-73.185112
38.356018	-72.472969
39.028931	-76.044586
39.701843	-74.649727
40.374756	-75.000076
41.047668	-76.276924
41.720581	-75.163017
42.393494	-76.386971
43.066406	-75.456398
43.739319	-76.440887
44.412231	-75.126129
45.085144	-71.708542
45.758057	-71.291611
46.430969	-72.362129
47.103882	-72.754845
47.776794	-73.661850
48.449707	-74.757401
49.122620	-76.472298
49.795532	-74.431412
50.468445	-76.008759
51.141357	-76.451958
51.814270	-76.036217
52.487183	-76.876259
53.160095	-76.325851
53.833008	-76.744896
54.505920	-79.148361
55.178833	-76.227539
55.851746	-77.350700
56.524658	-76.032394
57.197571	-76.904190
57.870483	-77.415092
58.543396	-76.290268
59.216309	-77.867134
59.889221	-67.693069
60.562134	-75.702812
61.235046	-78.317924
61.907959	-76.654373
62.580872	-73.500404
63.253784	-73.302170
63.926697	-77.174606
64.599609	-76.824677
65.272522	-75.281494
65.945435	-75.037575
66.618347	-75.290947
67.291260	-74.342621
67.964172	-75.795128
68.637085	-76.455620
69.309998	-77.053146
69.982910	-75.530540
70.655823	-72.908287
71.328735	-76.988235
72.001648	-77.289017
72.674561	-75.801109
73.347473	-75.114166
74.020386	-76.174385
74.693298	-77.442757
75.366211	-73.833862
76.039124	-77.134941
76.712036	-76.122879
77.384949	-75.766502
78.057861	-76.652939
78.730774	-77.573181
79.403687	-78.058167
80.076599	-76.486710
80.749512	-76.231529
81.422424	-78.058746
82.095337	-76.855087
82.768250	-77.509247
83.441162	-78.030525
84.114075	-77.723869
84.786987	-76.385597
85.459900	-76.456383
86.132812	-74.935913
86.805725	-77.798065
87.478638	-76.791962
88.151550	-76.794510
88.824463	-76.981453
89.497375	-76.776123
90.170288	-75.534958
90.843201	-78.688492
91.516113	-77.373985
92.189026	-77.153687
92.861938	-77.618416
93.534851	-77.228516
