Frequency (Hz)	Level (dB)
0.672913	-89.001167
1.345825	-88.975357
2.018738	-89.003960
2.691650	-88.859077
3.364563	-88.791435
4.037476	-88.648483
4.710388	-88.963860
5.383301	-88.402496
6.056213	-88.103836
6.729126	-87.269394
7.402039	-87.573402
8.074951	-86.022110
8.747864	-84.957336
9.420776	-83.666107
10.093689	-82.483017
10.766602	-83.042900
11.439514	-81.432816
12.112427	-81.552330
12.785339	-79.306923
13.458252	-79.588280
14.131165	-79.392570
14.804077	-78.992523
15.476990	-77.501389
16.149902	-76.168694
16.822815	-73.990768
17.495728	-63.396748
18.168640	-68.749756
18.841553	-72.202057
19.514465	-70.931412
20.187378	-72.370071
20.860291	-74.108467
21.533203	-73.238342
22.206116	-72.273354
22.879028	-70.181267
23.551941	-70.054810
24.224854	-73.238770
24.897766	-72.206802
25.570679	-73.186478
26.243591	-72.503929
26.916504	-73.964684
27.589417	-75.795486
28.262329	-72.483635
28.935242	-72.859871
29.608154	-71.186043
30.281067	-71.006798
30.953979	-71.338394
31.626892	-71.153099
32.299805	-70.251205
32.972717	-70.979706
33.645630	-71.357834
34.318542	-69.823372
34.991455	-65.975159
35.664368	-61.969109
36.337280	-68.376610
37.010193	-69.247269
37.683105	-70.443420
38.356018	-70.867767
39.028931	-69.896027
39.701843	-69.021149
40.374756	-69.818108
41.047668	-70.934669
41.720581	-72.581139
42.393494	-70.192329
43.066406	-68.798279
43.739319	-69.414383
44.412231	-68.020889
45.085144	-68.423775
45.758057	-68.363678
46.430969	-70.025330
47.103882	-69.501564
47.776794	-69.090355
48.449707	-69.398865
49.122620	-69.376060
49.795532	-71.254425
50.468445	-69.772713
51.141357	-69.414978
51.814270	-72.100533
52.487183	-71.181000
53.160095	-69.639786
53.833008	-68.762077
54.505920	-71.173859
55.178833	-69.627281
55.851746	-69.014389
56.524658	-70.549965
57.197571	-71.334381
57.870483	-69.369240
58.543396	-69.506203
59.216309	-69.641457
59.889221	-65.094597
60.562134	-67.360695
61.235046	-69.732178
61.907959	-70.453117
62.580872	-68.846451
63.253784	-70.642494
63.926697	-70.268982
64.599609	-70.367783
65.272522	-68.844940
65.945435	-69.204132
66.618347	-67.584389
67.291260	-68.995850
67.964172	-68.715530
68.637085	-68.514908
69.309998	-69.887146
69.982910	-68.062111
70.655823	-68.991554
71.328735	-69.510689
72.001648	-69.007027
72.674561	-68.681793
73.347473	-68.348885
74.020386	-68.365395
74.693298	-70.967583
75.366211	-68.599998
76.039124	-68.060936
76.712036	-67.574524
77.384949	-68.791580
78.057861	-69.632446
78.730774	-65.796227
79.403687	-69.629875
80.076599	-69.197433
80.749512	-68.291870
81.422424	-68.940033
82.095337	-66.881882
82.768250	-67.920952
83.441162	-67.874855
84.114075	-68.997948
84.786987	-67.883408
85.459900	-68.623161
86.132812	-66.593742
86.805725	-68.692703
87.478638	-70.371643
88.151550	-68.731781
88.824463	-68.536743
89.497375	-67.447823
90.170288	-66.837799
90.843201	-68.236740
91.516113	-66.182877
92.189026	-67.218292
92.861938	-66.909218
93.534851	-69.225433
94.207764	-67.986038
94.880676	-66.761772
95.553589	-68.274597
96.226501	-67.415161
96.899414	-67.071472
97.572327	-67.401657
98.245239	-69.102112
98.918152	-70.027176
99.591064	-65.951050
100.263977	-65.083687
100.936890	-67.806137
101.609802	-66.673973
102.282715	-66.844978
102.955627	-67.441795
103.628540	-68.631851
104.301453	-68.151451
104.974365	-66.461235
105.647278	-67.273857
106.320190	-66.180290
106.993103	-65.557724
107.666016	-66.423958
108.338928	-66.721024
109.011841	-65.486916
109.684753	-66.295219
110.357666	-67.499084
111.030579	-65.095741
111.703491	-66.100708
112.376404	-66.863190
113.049316	-65.283897
113.722229	-64.996628
114.395142	-66.623581
115.068054	-66.364799
115.740967	-65.074738
116.413879	-64.570732
117.086792	-66.198151
117.759705	-65.066574
118.432617	-66.316032
119.105530	-64.214951
119.778442	-64.831261
120.451355	-66.643417
121.124268	-65.848930
121.797180	-65.063957
122.470093	-65.260391
123.143005	-64.134872
123.815918	-63.438244
124.488831	-64.580048
125.161743	-65.133125
125.834656	-66.359657
126.507568	-66.018501
127.180481	-64.057060
127.853394	-62.870323
128.526306	-63.803421
129.199219	-62.073555
129.872131	-62.891071
130.545044	-64.561531
131.217957	-62.663395
131.890869	-62.686314
132.563782	-62.290321
133.236694	-64.224487
133.909607	-61.777824
134.582520	-63.869469
135.255432	-62.133827
135.928345	-62.283642
136.601257	-63.820522
137.274170	-62.222496
137.947083	-62.073956
138.619995	-62.717037
139.292908	-63.397617
139.965820	-62.329765
140.638733	-63.379303
141.311646	-64.299103
141.984558	-63.185062
142.657471	-61.245609
143.330383	-60.185318
144.003296	-60.313492
144.676208	-59.775475
145.349121	-63.520519
146.022034	-61.557888
146.694946	-61.069538
147.367859	-61.388992
148.040771	-61.823071
148.713684	-63.160419
149.386597	-63.071796
150.059509	-61.064526
150.732422	-61.600548
151.405334	-59.556110
152.078247	-61.222858
152.751160	-60.903130
153.424072	-61.544552
154.096985	-60.353207
154.769897	-60.450539
155.442810	-60.284821
156.115723	-62.397514
156.788635	-62.296741
157.461548	-61.374359
158.134460	-60.608032
158.807373	-59.708691
159.480286	-61.986626
160.153198	-60.679771
160.826111	-60.629726
161.499023	-60.332123
162.171936	-59.661041
162.844849	-61.228622
163.517761	-59.738670
164.190674	-60.937016
164.863586	-62.135502
165.536499	-57.507648
166.209412	-59.283279
166.882324	-60.190338
167.555237	-59.792969
168.228149	-60.577229
168.901062	-59.987274
169.573975	-61.243374
170.246887	-62.357185
170.919800	-60.186028
171.592712	-60.688019
172.265625	-60.265148
172.938538	-60.153618
173.611450	-61.510563
174.284363	-60.945553
174.957275	-60.231682
175.630188	-58.316200
176.303101	-59.247906
176.976013	-61.083504
177.648926	-57.699272
178.321838	-58.762077
178.994751	-58.377842
179.667664	-58.397171
180.340576	-59.189190
181.013489	-58.683765
181.686401	-59.911488
182.359314	-58.544582
183.032227	-58.186039
183.705139	-60.116886
184.378052	-59.295761
185.050964	-58.432426
185.723877	-57.595703
186.396790	-58.162235
187.069702	-60.065010
187.742615	-58.849270
188.415527	-59.385124
189.088440	-57.853237
189.761353	-58.761246
190.434265	-58.270111
191.107178	-55.491352
191.780090	-56.858250
192.453003	-56.313889
193.125916	-58.602833
193.798828	-56.850182
194.471741	-54.997494
195.144653	-56.836193
195.817566	-59.149124
196.490479	-58.376286
197.163391	-57.171837
197.836304	-55.883659
198.509216	-55.910728
199.182129	-55.772015
199.855042	-56.914330
200.527954	-56.442429
201.200867	-56.092564
201.873779	-56.076359
202.546692	-56.537338
203.219604	-56.768932
203.892517	-53.023834
204.565430	-53.155289
205.238342	-52.660255
205.911255	-54.547230
206.584167	-55.608589
207.257080	-54.512074
207.929993	-54.872868
208.602905	-52.235806
209.275818	-53.365860
209.948730	-53.982616
210.621643	-51.143162
211.294556	-54.665531
211.967468	-51.577156
212.640381	-51.396469
213.313293	-52.230656
213.986206	-51.774437
214.659119	-52.029091
215.332031	-51.254032
216.004944	-51.259769
216.677856	-53.357315
217.350769	-50.035030
218.023682	-50.032639
218.696594	-50.118713
219.369507	-49.833313
220.042419	-50.918629
220.715332	-49.477467
221.388245	-48.835079
222.061157	-50.656292
222.734070	-47.499718
223.406982	-50.418850
224.079895	-51.118465
224.752808	-50.141094
225.425720	-48.947632
226.098633	-49.415310
226.771545	-51.351124
227.444458	-51.943924
228.117371	-50.246010
228.790283	-50.888607
229.463196	-51.781330
230.136108	-51.004707
230.809021	-51.475857
231.481934	-51.523262
232.154846	-53.500954
232.827759	-53.183701
233.500671	-53.348255
234.173584	-51.375538
234.846497	-50.885899
235.519409	-53.984062
236.192322	-55.012508
236.865234	-52.359486
237.538147	-53.494659
238.211060	-52.081062
238.883972	-52.906319
239.556885	-54.642254
240.229797	-54.408089
240.902710	-54.110744
241.575623	-56.241745
242.248535	-58.316067
242.921448	-55.188141
243.594360	-52.749577
244.267273	-56.127781
244.940186	-56.085762
245.613098	-56.251244
246.286011	-55.076118
246.958923	-55.693592
247.631836	-56.423126
248.304749	-55.284954
248.977661	-57.181610
249.650574	-55.604607
250.323486	-56.815948
250.996399	-56.867798
251.669312	-57.065273
252.342224	-54.164593
253.015137	-57.042442
253.688049	-55.704144
254.360962	-56.405006
255.033875	-55.507774
255.706787	-58.163860
256.379700	-59.187634
257.052612	-55.574863
257.725525	-57.201584
258.398438	-56.974453
259.071350	-59.137177
259.744263	-58.428165
260.417175	-56.898605
261.090088	-59.107376
261.763000	-61.061958
262.435913	-56.637764
263.108826	-58.941944
263.781738	-59.430897
264.454651	-57.826664
265.127563	-58.238209
265.800476	-60.186039
266.473389	-56.823570
267.146301	-59.716660
267.819214	-57.932487
268.492126	-58.814548
269.165039	-58.152622
269.837952	-59.162109
270.510864	-58.697430
271.183777	-59.269348
271.856689	-61.709507
272.529602	-58.150871
273.202515	-58.082218
273.875427	-59.491318
274.548340	-56.292084
275.221252	-59.420567
275.894165	-58.945480
276.567078	-59.896080
277.239990	-59.233116
277.912903	-59.006603
278.585815	-61.673141
279.258728	-60.336029
279.931641	-62.854927
280.604553	-60.772579
281.277466	-60.519516
281.950378	-58.400017
282.623291	-58.559574
283.296204	-60.781544
283.969116	-61.387894
284.642029	-60.026817
285.314941	-64.145424
285.987854	-61.148483
286.660767	-59.684464
287.333679	-60.980972
288.006592	-60.815727
288.679504	-58.278778
289.352417	-62.606194
290.025330	-61.829750
290.698242	-60.845322
291.371155	-61.757439
292.044067	-60.059025
292.716980	-62.158718
293.389893	-61.646854
294.062805	-61.915325
294.735718	-63.052616
295.408630	-61.412899
296.081543	-62.362892
296.754456	-62.315117
297.427368	-63.592628
298.100281	-62.576035
298.773193	-62.527161
299.446106	-63.731712
300.119019	-64.043839
300.791931	-64.149696
301.464844	-63.757191
302.137756	-65.905090
302.810669	-65.080505
303.483582	-63.036770
304.156494	-64.068092
304.829407	-63.819283
305.502319	-64.203659
306.175232	-65.219910
306.848145	-63.057476
307.521057	-63.244335
308.193970	-63.850822
308.866882	-66.074051
309.539795	-64.274200
310.212708	-62.412701
310.885620	-65.601250
311.558533	-66.854340
312.231445	-64.956299
312.904358	-65.257164
313.577271	-64.620834
314.250183	-65.201477
314.923096	-63.627926
315.596008	-65.756683
316.268921	-66.750801
316.941833	-64.809845
317.614746	-65.940651
318.287659	-66.631218
318.960571	-64.426125
319.633484	-65.663063
320.306396	-66.391800
320.979309	-65.728920
321.652222	-65.107834
322.325134	-66.961357
322.998047	-67.577087
323.670959	-65.691620
324.343872	-69.983665
325.016785	-67.047508
325.689697	-64.922287
326.362610	-65.726105
327.035522	-64.716591
327.708435	-65.559906
328.381348	-65.347031
329.054260	-66.173950
329.727173	-67.564812
330.400085	-66.633202
331.072998	-66.888954
331.745911	-65.110001
332.418823	-65.402863
333.091736	-65.718384
333.764648	-66.410225
334.437561	-65.864578
335.110474	-66.997292
335.783386	-67.258087
336.456299	-66.694977
337.129211	-67.214043
337.802124	-65.570839
338.475037	-66.559181
339.147949	-67.684608
339.820862	-66.958267
340.493774	-68.858490
341.166687	-69.036041
341.839600	-68.063370
342.512512	-65.331482
343.185425	-67.723602
343.858337	-66.463463
344.531250	-65.938744
345.204163	-68.039116
345.877075	-68.017662
346.549988	-68.129532
347.222900	-69.402771
347.895813	-66.585922
348.568726	-66.010086
349.241638	-66.340645
349.914551	-65.870796
350.587463	-65.172844
351.260376	-66.946983
351.933289	-65.996521
352.606201	-66.882019
353.279114	-67.257332
353.952026	-67.597496
354.624939	-67.113747
355.297852	-67.878273
355.970764	-67.725166
356.643677	-66.267937
357.316589	-66.617989
357.989502	-67.570740
358.662415	-68.292160
359.335327	-67.773537
360.008240	-65.101486
360.681152	-67.678711
361.354065	-67.918518
362.026978	-67.458740
362.699890	-66.088669
363.372803	-67.353340
364.045715	-65.711708
364.718628	-65.914040
365.391541	-66.293648
366.064453	-66.940620
366.737366	-64.693703
367.410278	-66.831886
368.083191	-66.569565
368.756104	-65.187088
369.429016	-65.269592
370.101929	-66.226639
370.774841	-64.951126
371.447754	-63.544502
372.120667	-66.308990
372.793579	-65.750603
373.466492	-65.257507
374.139404	-65.210762
374.812317	-64.435883
375.485229	-63.923019
376.158142	-65.895195
376.831055	-65.947365
377.503967	-65.529282
378.176880	-66.073730
378.849792	-65.457626
379.522705	-62.380672
380.195618	-64.499817
380.868530	-64.623138
381.541443	-65.202942
382.214355	-64.143387
382.887268	-63.294300
383.560181	-64.879158
384.233093	-61.849121
384.906006	-63.640156
385.578918	-62.394772
386.251831	-63.218189
386.924744	-64.097733
387.597656	-62.960785
388.270569	-65.048378
388.943481	-64.298630
389.616394	-63.891602
390.289307	-63.626785
390.962219	-63.674149
391.635132	-61.556911
392.308044	-62.555916
392.980957	-63.285278
393.653870	-62.473518
394.326782	-62.946442
394.999695	-61.568970
395.672607	-62.375160
396.345520	-60.399479
397.018433	-61.760773
397.691345	-61.882923
398.364258	-62.152779
399.037170	-62.416710
399.710083	-63.194771
400.382996	-62.240959
401.055908	-62.388142
401.728821	-61.536892
402.401733	-62.271210
403.074646	-61.530666
403.747559	-60.289711
404.420471	-61.387722
405.093384	-63.186146
405.766296	-61.777603
406.439209	-60.473721
407.112122	-59.445812
407.785034	-62.454105
408.457947	-62.246132
409.130859	-59.847034
409.803772	-60.440895
410.476685	-59.255787
411.149597	-58.919056
411.822510	-61.782227
412.495422	-61.090271
413.168335	-58.948227
413.841248	-60.395519
414.514160	-60.269039
415.187073	-59.871716
415.859985	-58.243168
416.532898	-60.825447
417.205811	-56.942551
417.878723	-58.680702
418.551636	-58.674934
419.224548	-58.900101
419.897461	-59.336281
420.570374	-57.960304
421.243286	-60.015053
421.916199	-56.948902
422.589111	-55.850708
423.262024	-55.347649
423.934937	-57.410877
424.607849	-54.357861
425.280762	-55.302647
425.953674	-57.518875
426.626587	-57.183266
427.299500	-57.481922
427.972412	-56.175396
428.645325	-54.924141
429.318237	-56.180588
429.991150	-58.076920
430.664062	-55.585285
431.336975	-56.379032
432.009888	-55.115921
432.682800	-55.236118
433.355713	-55.669838
434.028625	-55.705650
434.701538	-55.283905
435.374451	-52.743618
436.047363	-56.223129
436.720276	-53.685966
437.393188	-54.705070
438.066101	-52.980141
438.739014	-52.279110
439.411926	-52.289749
440.084839	-52.803989
440.757751	-52.111462
441.430664	-51.897060
442.103577	-54.007442
442.776489	-53.743660
443.449402	-53.339218
444.122314	-51.790417
444.795227	-51.808743
445.468140	-54.403362
446.141052	-51.936527
446.813965	-52.566463
