Frequency (Hz)	Level (dB)
0.672913	-90.853790
1.345825	-90.777481
2.018738	-90.806419
2.691650	-90.765350
3.364563	-90.685959
4.037476	-90.544334
4.710388	-90.351425
5.383301	-90.548622
6.056213	-89.729195
6.729126	-89.807037
7.402039	-89.208656
8.074951	-89.301910
8.747864	-87.989487
9.420776	-85.249466
10.093689	-83.080818
10.766602	-85.206932
11.439514	-86.436424
12.112427	-85.418617
12.785339	-82.524101
13.458252	-84.302406
14.131165	-83.013748
14.804077	-80.999619
15.476990	-80.424988
16.149902	-78.445107
16.822815	-73.854858
17.495728	-63.286224
18.168640	-67.013374
18.841553	-71.913811
19.514465	-72.794739
20.187378	-74.799370
20.860291	-73.884094
21.533203	-75.054146
22.206116	-73.818756
22.879028	-72.192268
23.551941	-72.557602
24.224854	-75.485847
24.897766	-75.184563
25.570679	-77.217758
26.243591	-77.430878
26.916504	-77.233322
27.589417	-77.750549
28.262329	-77.088432
28.935242	-77.720001
29.608154	-75.657066
30.281067	-75.304405
30.953979	-75.194885
31.626892	-73.339142
32.299805	-74.685165
32.972717	-74.926483
33.645630	-73.863640
34.318542	-75.404457
34.991455	-70.938789
35.664368	-65.843414
36.337280	-71.414001
37.010193	-73.716423
37.683105	-74.389420
38.356018	-71.959778
39.028931	-73.469795
39.701843	-73.578529
40.374756	-75.766014
41.047668	-75.431725
41.720581	-76.542572
42.393494	-74.655807
43.066406	-73.224953
43.739319	-73.589447
44.412231	-72.886856
45.085144	-71.319786
45.758057	-70.534737
46.430969	-70.075699
47.103882	-70.864571
47.776794	-72.787125
48.449707	-72.581367
49.122620	-73.118279
49.795532	-75.402420
50.468445	-74.728073
51.141357	-73.720085
51.814270	-76.140388
52.487183	-75.502357
53.160095	-72.584145
53.833008	-74.208107
54.505920	-74.483704
55.178833	-74.643723
55.851746	-75.228943
56.524658	-74.787125
57.197571	-73.584717
57.870483	-73.382156
58.543396	-76.367744
59.216309	-74.427986
59.889221	-67.334549
60.562134	-72.341095
61.235046	-72.910454
61.907959	-74.055649
62.580872	-72.039948
63.253784	-72.482071
63.926697	-74.245743
64.599609	-73.154549
65.272522	-72.470589
65.945435	-72.967087
66.618347	-70.015633
67.291260	-71.453461
67.964172	-75.267479
68.637085	-71.709900
69.309998	-75.586342
69.982910	-75.094116
70.655823	-72.414497
71.328735	-76.086334
72.001648	-75.594040
72.674561	-74.166885
73.347473	-71.369019
74.020386	-72.841331
74.693298	-74.108131
75.366211	-72.444885
76.039124	-72.370712
76.712036	-73.399323
77.384949	-73.565926
78.057861	-72.805298
78.730774	-72.940285
79.403687	-74.531921
80.076599	-74.089661
80.749512	-73.717445
81.422424	-73.404945
82.095337	-73.791595
82.768250	-73.765671
83.441162	-74.419167
84.114075	-73.151489
84.786987	-73.368553
85.459900	-72.531128
86.132812	-74.052879
86.805725	-71.914314
87.478638	-73.791283
88.151550	-73.635529
88.824463	-74.000557
89.497375	-72.308220
90.170288	-72.348328
90.843201	-73.908760
91.516113	-73.942955
92.189026	-72.521286
92.861938	-71.839745
93.534851	-72.885002
94.207764	-74.877289
94.880676	-73.190041
95.553589	-74.934303
96.226501	-74.623245
96.899414	-73.800995
97.572327	-72.680244
98.245239	-72.686729
98.918152	-74.446556
99.591064	-72.846794
100.263977	-74.027420
100.936890	-74.742790
101.609802	-73.469582
102.282715	-73.938263
102.955627	-72.002068
103.628540	-73.815239
104.301453	-73.760330
104.974365	-74.326553
105.647278	-73.640404
106.320190	-74.585770
