Frequency (Hz)	Level (dB)
0.672913	-96.058578
1.345825	-96.144592
2.018738	-95.874931
2.691650	-95.925110
3.364563	-95.289192
4.037476	-95.702560
4.710388	-95.807838
5.383301	-94.785393
6.056213	-93.753906
6.729126	-92.984749
7.402039	-92.294044
8.074951	-91.485817
8.747864	-91.548523
9.420776	-89.114677
10.093689	-87.837975
10.766602	-87.158798
11.439514	-90.493874
12.112427	-86.341766
12.785339	-85.472435
13.458252	-84.708382
14.131165	-85.071823
14.804077	-81.386856
15.476990	-83.259949
16.149902	-84.068008
16.822815	-76.017914
17.495728	-64.196808
18.168640	-70.641289
18.841553	-72.185043
19.514465	-69.222855
20.187378	-74.479530
20.860291	-74.988686
21.533203	-79.112526
22.206116	-71.204430
22.879028	-70.680725
23.551941	-72.706680
24.224854	-77.385620
24.897766	-74.656410
25.570679	-81.378998
26.243591	-77.424316
26.916504	-76.769234
27.589417	-77.491585
28.262329	-80.277901
28.935242	-79.676743
29.608154	-73.609329
30.281067	-75.023605
30.953979	-72.454460
31.626892	-75.498573
32.299805	-73.547333
32.972717	-73.245377
33.645630	-72.014061
34.318542	-69.682259
34.991455	-63.297653
35.664368	-62.616371
36.337280	-69.798851
37.010193	-78.158844
37.683105	-78.770164
38.356018	-74.638428
39.028931	-73.593941
39.701843	-76.180367
40.374756	-82.636856
41.047668	-77.829048
41.720581	-76.941330
42.393494	-78.500488
43.066406	-77.333275
43.739319	-73.897957
44.412231	-75.313507
45.085144	-72.412926
45.758057	-72.315613
46.430969	-73.567940
47.103882	-78.876144
47.776794	-74.308830
48.449707	-72.823090
49.122620	-77.269684
49.795532	-80.247040
50.468445	-77.423576
51.141357	-81.937508
51.814270	-87.751137
52.487183	-84.616638
53.160095	-76.876122
53.833008	-78.368553
54.505920	-78.100914
55.178833	-77.572601
55.851746	-77.251595
56.524658	-77.638008
57.197571	-79.548798
57.870483	-74.482262
58.543396	-84.549652
59.216309	-79.687515
59.889221	-69.996353
60.562134	-71.769310
61.235046	-76.491913
61.907959	-78.129211
62.580872	-77.720558
63.253784	-74.941490
63.926697	-73.955154
64.599609	-74.327728
65.272522	-72.389145
65.945435	-71.767357
66.618347	-71.799133
67.291260	-75.630150
67.964172	-74.792778
68.637085	-75.224907
69.309998	-72.871567
69.982910	-74.413528
70.655823	-78.012924
71.328735	-73.615410
72.001648	-76.495697
72.674561	-76.621628
73.347473	-72.671066
74.020386	-73.558739
74.693298	-73.622940
75.366211	-74.448570
76.039124	-75.502289
76.712036	-80.352005
77.384949	-74.205856
78.057861	-69.704193
78.730774	-70.702744
79.403687	-70.941322
80.076599	-69.806786
80.749512	-72.369255
81.422424	-73.924805
82.095337	-72.257042
82.768250	-75.459923
83.441162	-75.226196
84.114075	-73.294617
84.786987	-68.910225
85.459900	-70.941681
86.132812	-68.245880
86.805725	-74.442596
87.478638	-69.294395
88.151550	-71.867462
88.824463	-70.897415
89.497375	-67.913208
90.170288	-73.118538
90.843201	-69.345207
91.516113	-68.342690
92.189026	-71.209305
92.861938	-71.817451
93.534851	-70.243019
94.207764	-69.058067
94.880676	-69.789970
95.553589	-66.547157
96.226501	-69.915817
96.899414	-69.276741
97.572327	-71.623459
98.245239	-69.011368
98.918152	-67.860153
99.591064	-68.080780
100.263977	-68.264847
100.936890	-69.222298
101.609802	-69.819962
102.282715	-68.084137
102.955627	-70.853279
103.628540	-68.071747
104.301453	-66.709625
104.974365	-69.185120
105.647278	-67.922646
106.320190	-65.777077
106.993103	-66.661758
107.666016	-68.475166
108.338928	-65.105835
109.011841	-63.510178
109.684753	-64.058113
110.357666	-65.389503
111.030579	-65.698639
111.703491	-64.639137
112.376404	-66.284454
113.049316	-61.846558
113.722229	-64.335670
114.395142	-62.020523
115.068054	-65.520508
115.740967	-67.412018
116.413879	-63.517784
117.086792	-66.265442
117.759705	-66.253502
118.432617	-66.375946
119.105530	-63.424160
119.778442	-60.597836
120.451355	-60.554462
121.124268	-64.104988
121.797180	-58.217331
122.470093	-59.738956
123.143005	-60.484207
123.815918	-61.665394
124.488831	-60.455170
125.161743	-58.828243
125.834656	-61.661846
126.507568	-59.840889
127.180481	-58.971390
127.853394	-58.830860
128.526306	-61.813587
129.199219	-56.990494
129.872131	-56.840908
130.545044	-58.135864
131.217957	-59.248940
131.890869	-61.435387
132.563782	-55.609100
133.236694	-58.973694
133.909607	-56.836330
134.582520	-58.327072
135.255432	-57.673546
135.928345	-55.214840
136.601257	-55.616299
137.274170	-62.775066
137.947083	-56.929012
138.619995	-54.747047
139.292908	-58.296722
139.965820	-57.815403
140.638733	-53.940598
141.311646	-56.181469
141.984558	-57.595505
142.657471	-57.043320
143.330383	-58.359070
144.003296	-60.729618
144.676208	-62.194641
145.349121	-62.638893
146.022034	-57.847088
146.694946	-60.457649
147.367859	-58.629559
148.040771	-60.029808
148.713684	-65.652863
149.386597	-61.800446
150.059509	-61.099442
150.732422	-61.046932
151.405334	-61.024918
152.078247	-65.584312
152.751160	-62.923584
153.424072	-61.074490
154.096985	-62.675014
154.769897	-60.262394
155.442810	-64.650032
156.115723	-65.419937
156.788635	-60.338367
157.461548	-62.909912
158.134460	-64.095703
158.807373	-64.416153
159.480286	-62.593861
160.153198	-66.110588
160.826111	-63.460491
161.499023	-62.717339
162.171936	-65.929092
162.844849	-64.745796
163.517761	-64.246330
164.190674	-64.770897
164.863586	-65.344353
165.536499	-66.374527
166.209412	-65.427147
166.882324	-65.763954
167.555237	-62.334515
168.228149	-64.638527
168.901062	-65.663628
169.573975	-66.143860
170.246887	-63.320126
170.919800	-66.804482
171.592712	-66.870010
172.265625	-66.822777
172.938538	-68.374092
173.611450	-67.986412
174.284363	-68.800438
174.957275	-65.273926
175.630188	-62.072060
176.303101	-66.081490
176.976013	-63.354988
177.648926	-66.482704
178.321838	-64.971207
178.994751	-67.092865
179.667664	-68.438942
180.340576	-65.997322
181.013489	-73.678856
181.686401	-63.953876
182.359314	-66.472115
183.032227	-67.620438
183.705139	-67.016006
184.378052	-62.527054
185.050964	-66.426949
185.723877	-65.725800
186.396790	-64.700127
187.069702	-66.006012
187.742615	-64.608711
188.415527	-64.821381
189.088440	-70.579819
189.761353	-73.580513
190.434265	-69.518532
191.107178	-69.074913
191.780090	-68.096359
192.453003	-72.044106
193.125916	-68.955833
193.798828	-70.305595
194.471741	-69.337326
195.144653	-69.822823
195.817566	-66.770340
196.490479	-66.126038
197.163391	-67.531502
197.836304	-68.270035
198.509216	-68.822624
199.182129	-70.228065
199.855042	-67.856888
200.527954	-67.555084
201.200867	-70.587654
201.873779	-67.968933
202.546692	-69.938133
203.219604	-67.023445
203.892517	-69.329811
204.565430	-65.253365
205.238342	-70.290260
205.911255	-67.106117
206.584167	-67.727463
207.257080	-67.271347
207.929993	-68.247887
208.602905	-69.007233
209.275818	-66.786026
209.948730	-68.436760
210.621643	-60.980396
211.294556	-67.449287
211.967468	-71.037529
212.640381	-67.722687
213.313293	-70.945175
213.986206	-67.835793
214.659119	-70.796310
215.332031	-72.877945
216.004944	-71.078918
216.677856	-67.868240
217.350769	-71.447655
218.023682	-69.721298
218.696594	-67.883163
219.369507	-68.893944
220.042419	-65.982407
220.715332	-66.334892
221.388245	-67.566559
222.061157	-66.731186
222.734070	-67.842377
223.406982	-66.004143
224.079895	-66.832863
224.752808	-68.221375
225.425720	-68.356949
226.098633	-68.222076
226.771545	-70.601112
227.444458	-66.652969
228.117371	-65.610382
228.790283	-65.656441
229.463196	-66.894699
230.136108	-66.060013
230.809021	-66.497353
231.481934	-66.461098
232.154846	-67.344276
232.827759	-66.805763
233.500671	-68.397194
234.173584	-64.304863
234.846497	-63.742245
235.519409	-63.790390
236.192322	-64.279427
236.865234	-64.328850
237.538147	-64.038673
238.211060	-63.183971
238.883972	-64.609215
239.556885	-63.578598
240.229797	-66.031662
240.902710	-67.942986
241.575623	-72.691971
242.248535	-63.166973
242.921448	-63.940250
243.594360	-65.522789
244.267273	-63.905079
244.940186	-62.481655
245.613098	-63.286312
246.286011	-59.678440
246.958923	-61.853573
247.631836	-62.661293
