Frequency (Hz)	Level (dB)
0.672913	-87.952667
1.345825	-87.978806
2.018738	-87.908981
2.691650	-87.895882
3.364563	-87.870316
4.037476	-87.930107
4.710388	-87.798203
5.383301	-87.855171
6.056213	-87.534790
6.729126	-87.658325
7.402039	-87.580124
8.074951	-86.299339
8.747864	-86.357910
9.420776	-86.877121
10.093689	-82.892113
10.766602	-84.375786
11.439514	-84.332932
12.112427	-83.122314
12.785339	-82.172562
13.458252	-84.270203
14.131165	-82.880455
14.804077	-81.150909
15.476990	-81.549744
16.149902	-79.267227
16.822815	-76.341850
17.495728	-64.475388
18.168640	-72.387146
18.841553	-72.975960
19.514465	-72.454193
20.187378	-73.389214
20.860291	-74.175659
21.533203	-75.557701
22.206116	-73.472725
22.879028	-73.178246
23.551941	-73.041870
24.224854	-75.882576
24.897766	-76.607903
25.570679	-77.183502
26.243591	-77.537254
26.916504	-79.352669
27.589417	-78.962570
28.262329	-78.930710
28.935242	-77.393608
29.608154	-73.655289
30.281067	-75.661858
30.953979	-75.165527
31.626892	-74.394318
32.299805	-72.577843
32.972717	-73.462624
33.645630	-73.921425
34.318542	-70.242012
34.991455	-61.597927
35.664368	-62.779377
36.337280	-69.777870
37.010193	-73.950584
37.683105	-74.417999
38.356018	-75.692612
39.028931	-74.601555
39.701843	-76.797462
40.374756	-77.415710
41.047668	-78.341255
41.720581	-77.709602
42.393494	-75.535210
43.066406	-76.877754
43.739319	-74.038895
44.412231	-73.024200
45.085144	-73.636551
45.758057	-72.967308
46.430969	-72.930374
47.103882	-76.425911
47.776794	-76.092339
48.449707	-74.642761
49.122620	-75.521629
49.795532	-76.487679
50.468445	-77.188972
51.141357	-78.644913
51.814270	-79.477852
52.487183	-78.272102
53.160095	-77.775398
53.833008	-77.935265
54.505920	-78.363228
55.178833	-77.226555
55.851746	-78.567902
56.524658	-78.798294
57.197571	-76.993736
57.870483	-75.378433
58.543396	-76.083298
59.216309	-76.464973
59.889221	-67.641907
60.562134	-75.227463
